Series ID,Year,Period,Label,Value
LAUST200000000000003,2019,M05,2019 May,3.2
LAUST200000000000003,2019,M06,2019 Jun,3.4
LAUST200000000000003,2019,M07,2019 Jul,4.0
LAUST200000000000003,2019,M08,2019 Aug,3.5
LAUST200000000000003,2019,M09,2019 Sep,2.9
LAUST200000000000003,2019,M10,2019 Oct,3.0
LAUST200000000000003,2019,M11,2019 Nov,2.9
LAUST200000000000003,2019,M12,2019 Dec,2.9
LAUST200000000000003,2020,M01,2020 Jan,3.3
LAUST200000000000003,2020,M02,2020 Feb,3.3
LAUST200000000000003,2020,M03,2020 Mar,3.8
LAUST200000000000003,2020,M04,2020 Apr,12.1
LAUST200000000000003,2020,M05,2020 May,9.6
LAUST200000000000003,2020,M06,2020 Jun,7.4
LAUST200000000000003,2020,M07,2020 Jul,7.3
LAUST200000000000003,2020,M08,2020 Aug,5.8
LAUST200000000000003,2020,M09,2020 Sep,5.0
LAUST200000000000003,2020,M10,2020 Oct,4.3
LAUST200000000000003,2020,M11,2020 Nov,4.1
LAUST200000000000003,2020,M12,2020 Dec,4.0
LAUST200000000000003,2021,M01,2021 Jan,4.2
LAUST200000000000003,2021,M02,2021 Feb,3.9
LAUST200000000000003,2021,M03,2021 Mar,3.6
LAUST200000000000003,2021,M04,2021 Apr,3.3
LAUST200000000000003,2021,M05,2021 May,3.5
LAUST200000000000003,2021,M06,2021 Jun,4.0
LAUST200000000000003,2021,M07,2021 Jul,4.2
LAUST200000000000003,2021,M08,2021 Aug,3.5
LAUST200000000000003,2021,M09,2021 Sep,2.8
LAUST200000000000003,2021,M10,2021 Oct,2.6
LAUST200000000000003,2021,M11,2021 Nov,2.2
LAUST200000000000003,2021,M12,2021 Dec,2.0
LAUST200000000000003,2022,M01,2022 Jan,2.7
LAUST200000000000003,2022,M02,2022 Feb,2.7
LAUST200000000000003,2022,M03,2022 Mar,2.6
LAUST200000000000003,2022,M04,2022 Apr,2.1
LAUST200000000000003,2022,M05,2022 May,2.4
LAUST200000000000003,2022,M06,2022 Jun,2.8
LAUST200000000000003,2022,M07,2022 Jul,3.3
LAUST200000000000003,2022,M08,2022 Aug,3.1
LAUST200000000000003,2022,M09,2022 Sep,2.6
LAUST200000000000003,2022,M10,2022 Oct,2.7
LAUST200000000000003,2022,M11,2022 Nov,2.5
LAUST200000000000003,2022,M12,2022 Dec,2.4
LAUST200000000000003,2023,M01,2023 Jan,2.9
LAUST200000000000003,2023,M02,2023 Feb,3.2
