DATE,NMBPPRIVSA
1988-01-01,505.839269838342
1988-02-01,618.767223260769
1988-03-01,655.09066297965
1988-04-01,461.008416129153
1988-05-01,490.027772159544
1988-06-01,459.992159250138
1988-07-01,481.20345865524905
1988-08-01,510.633960579413
1988-09-01,545.306114267567
1988-10-01,743.026722104526
1988-11-01,449.03136828054704
1988-12-01,459.34977686695703
1989-01-01,420.198615854132
1989-02-01,368.175813259405
1989-03-01,417.14645630503304
1989-04-01,675.2195957565721
1989-05-01,541.478650751734
1989-06-01,824.498611133956
1989-07-01,424.717000118875
1989-08-01,454.163962704271
1989-09-01,445.179915184413
1989-10-01,510.42464523414003
1989-11-01,433.647867192754
1989-12-01,730.0191957133051
1990-01-01,658.1700048101529
1990-02-01,358.44705195769797
1990-03-01,520.843988064934
1990-04-01,496.437868247545
1990-05-01,491.862504950832
1990-06-01,511.79145363300796
1990-07-01,495.456935413351
1990-08-01,627.741808408694
1990-09-01,426.205999093239
1990-10-01,377.95744016196403
1990-11-01,487.814650267694
1990-12-01,435.228703081245
1991-01-01,403.962813813817
1991-02-01,443.00636001730004
1991-03-01,380.25268224721395
1991-04-01,442.340627031082
1991-05-01,443.117444681478
1991-06-01,429.72842773223294
1991-07-01,520.190785089797
1991-08-01,443.950395543973
1991-09-01,450.598287632725
1991-10-01,671.206946866568
1991-11-01,494.117419937068
1991-12-01,390.70831145190596
1992-01-01,472.917433917511
1992-02-01,576.4425638021839
1992-03-01,505.440110114664
1992-04-01,604.729185103051
1992-05-01,491.49591954928
1992-06-01,582.575051481492
1992-07-01,594.895224903037
1992-08-01,544.272230819862
1992-09-01,644.295221074795
1992-10-01,610.386400588438
1992-11-01,672.0751642376799
1992-12-01,607.8122975271141
1993-01-01,646.126411792795
1993-02-01,525.2976438697531
1993-03-01,590.840679882648
1993-04-01,565.383830963193
1993-05-01,537.039826508289
1993-06-01,874.589662982266
1993-07-01,632.961387299467
1993-08-01,793.6794364706551
1993-09-01,910.170292896388
1993-10-01,765.7653062410981
1993-11-01,735.1175203970599
1993-12-01,688.0239480036411
1994-01-01,881.587691213991
1994-02-01,923.010126739139
1994-03-01,997.3838217922059
1994-04-01,1235.910179661
1994-05-01,948.6731806280569
1994-06-01,822.554191274084
1994-07-01,772.096060771832
1994-08-01,1404.8189773911902
1994-09-01,760.344326965335
1994-10-01,705.76699577979
1994-11-01,1224.98674792129
1994-12-01,850.9388931008419
1995-01-01,790.959055037267
1995-02-01,1040.9551782631802
1995-03-01,794.732477727672
1995-04-01,788.275386533275
1995-05-01,851.947276185841
1995-06-01,917.7141754735519
1995-07-01,923.546246129958
1995-08-01,1471.74720169088
1995-09-01,872.3462721307809
1995-10-01,884.6066098983349
1995-11-01,983.4795064468319
1995-12-01,1070.5384540387402
1996-01-01,851.706167069803
1996-02-01,768.401773295206
1996-03-01,943.151750817558
1996-04-01,869.52766157995
1996-05-01,925.418229409347
1996-06-01,817.337685681478
1996-07-01,845.178155470639
1996-08-01,785.3787386001061
1996-09-01,891.712713223112
1996-10-01,1039.61727160648
1996-11-01,788.945476953595
1996-12-01,1053.2618268048
1997-01-01,894.223594593941
1997-02-01,889.192861123686
1997-03-01,709.193470248783
1997-04-01,931.0370093025059
1997-05-01,1084.3291327802099
1997-06-01,775.432179512841
1997-07-01,818.5054984436521
1997-08-01,945.9121392472811
1997-09-01,860.81054995347
1997-10-01,932.656916445333
1997-11-01,683.947174764418
1997-12-01,864.152214570534
1998-01-01,802.229849731673
1998-02-01,1274.58942371348
1998-03-01,535.873911832508
1998-04-01,834.6375647673109
1998-05-01,938.147822734031
1998-06-01,971.127705021808
1998-07-01,924.3056173610989
1998-08-01,789.049270231722
1998-09-01,889.9583768358169
1998-10-01,948.4561416320171
1998-11-01,992.98651483591
1998-12-01,990.5187523506951
1999-01-01,843.266385377182
1999-02-01,487.41178640826104
